"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"132","19900712","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"133","19900713","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"134","19900716","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"135","19900717","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"136","19900718","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"137","19900719","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"138","19900720","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"139","19900723","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"140","19900724","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"141","19900725","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"142","19900726","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"143","19900727","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"144","19900730","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"145","19900731","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"146","19900801","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"147","19900802","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"148","19900803","CCAU90.b01","CCAU90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01"
"149","19900806","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"150","19900807","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"151","19900808","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"152","19900809","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"153","19900810","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"154","19900813","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"155","19900814","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"156","19900815","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"157","19900816","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"158","19900817","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"159","19900820","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"160","19900821","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"161","19900822","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"162","19900823","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"163","19900824","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"164","19900827","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"165","19900828","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"166","19900829","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"167","19900830","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"168","19900831","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"169","19900904","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"170","19900905","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"171","19900906","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"172","19900907","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"173","19900910","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"174","19900911","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"175","19900912","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"176","19900913","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"177","19900914","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"178","19900917","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"179","19900918","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"180","19900919","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"181","19900920","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"182","19900921","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"183","19900924","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"184","19900925","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"185","19900926","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"186","19900927","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"187","19900928","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"188","19901001","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"189","19901002","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
"190","19901003","CCAZ90.b01","CCAZ90.b01","CCAH91.b01","CCAK91.b01","CCAN91.b01","CCAU91.b01","CCAZ91.b01"
