,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5141,20100917,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,22.99,21.28,19.75,18.98,18.17
5142,20100920,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.25,21.49,19.74,19,18.29
5143,20100921,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,22.97,21.3,19.74,18.9,18.23
5144,20100922,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.15,21.48,19.86,19,18.35
5145,20100923,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.62,21.78,20.08,19.21,18.4
5146,20100924,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,24.42,22.56,20.74,19.63,18.8
5147,20100927,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,25.01,23.04,20.98,19.77,18.86
5148,20100928,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,25.31,23.33,21.06,19.8,18.9
5149,20100929,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,25.06,23.2,21.03,19.85,19
5150,20100930,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.44,21.76,20.01,18.95,18.06
5151,20101001,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.59,21.62,19.71,18.64,17.88
5152,20101004,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.07,21.34,19.61,18.59,17.95
5153,20101005,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.56,21.81,19.88,18.88,18.18
5154,20101006,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,23.7,22.01,20.12,19.14,18.45
5155,20101007,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,24.97,22.94,20.93,19.85,19.1
5156,20101008,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.26,23.95,21.62,20.35,19.61
5157,20101011,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.37,24.08,21.75,20.73,19.91
5158,20101012,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.31,24.81,22.31,21.08,20.32
5159,20101013,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.58,24.96,22.36,20.91,19.89
5160,20101014,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.11,25.33,22.65,21.23,20.19
