"","EK"
"1998-11-16",0.403225806451613
"1998-11-17",-3.29317269076305
"1998-11-18",1.0797342192691
"1998-11-19",0.164338537387017
"1998-11-20",0.656275635767022
"1998-11-23",-1.62999185004075
"1998-11-24",0.579950289975145
"1998-11-25",-1.07084019769358
"1998-11-27",-0.41631973355537
"1998-11-30",-2.84280936454849
"1998-12-01",0.344234079173838
"1998-12-02",0.428816466552316
"1998-12-03",-0.170794192997438
"1998-12-04",0.684345594525235
"1998-12-07",0.594732370433305
"1998-12-08",-1.09797297297297
"1998-12-09",-0.939368061485909
"1998-12-10",-0.517241379310345
"1998-12-11",-0.173310225303293
"1998-12-14",-1.5625
"1998-12-15",1.14638447971781
"1998-12-16",1.9180470793374
"1998-12-17",0.513259195893926
"1998-12-18",1.19148936170213
"1998-12-21",-0.756938603868797
"1998-12-22",-0.423728813559322
"1998-12-23",-0.170212765957447
"1998-12-24",-0.255754475703325
"1998-12-28",-1.1965811965812
"1998-12-29",0
"1998-12-30",-0.519031141868512
"1998-12-31",0.173913043478261
"1999-01-04",-1.12847222222222
"1999-01-05",0.438981562774364
"1999-01-06",2.62237762237762
"1999-01-07",-1.0221465076661
"1999-01-08",-0.430292598967298
"1999-01-11",4.06222990492653
"1999-01-12",5.81395348837209
"1999-01-13",-1.17739403453689
"1999-01-14",-10.4050833995234
"1999-01-15",-2.12765957446809
"1999-01-19",-0.36231884057971
"1999-01-20",-0.909090909090909
"1999-01-21",-4.22018348623853
"1999-01-22",0.383141762452107
"1999-01-25",-0.763358778625954
"1999-01-26",1.92307692307692
"1999-01-27",-2.45283018867925
"1999-01-28",-1.64410058027079
"1999-01-29",2.85152409046214
"1999-02-01",0.573613766730402
"1999-02-02",0.190114068441065
"1999-02-03",1.32827324478178
"1999-02-04",3.37078651685393
"1999-02-05",-0.36231884057971
"1999-02-08",-2
"1999-02-09",-2.13358070500928
"1999-02-10",-0.0947867298578199
"1999-02-11",-0.094876660341556
"1999-02-12",-0.664767331433998
"1999-02-16",-0.573613766730402
"1999-02-17",-1.05769230769231
"1999-02-18",-0.777453838678328
"1999-02-19",3.72184133202742
"1999-02-22",3.39943342776204
"1999-02-23",1.46118721461187
"1999-02-24",-0.72007200720072
"1999-02-25",-2.99184043517679
"1999-02-26",-1.02803738317757
"1999-03-01",-0.56657223796034
"1999-03-02",-1.13960113960114
"1999-03-03",-1.0566762728146
"1999-03-04",0.0970873786407767
"1999-03-05",1.06692531522793
"1999-03-08",0.479846449136276
"1999-03-09",0
"1999-03-10",0.286532951289398
"1999-03-11",1.52380952380952
"1999-03-12",0
"1999-03-15",0.187617260787992
"1999-03-16",1.40449438202247
"1999-03-17",0.646352723915051
"1999-03-18",-0.55045871559633
"1999-03-19",-1.4760147601476
"1999-03-22",-0.749063670411985
"1999-03-23",-0.943396226415094
"1999-03-24",-0.761904761904762
"1999-03-25",0.767754318618042
"1999-03-26",-0.571428571428571
"1999-03-29",0.574712643678161
"1999-03-30",-1.14285714285714
"1999-03-31",-1.54142581888247
"1999-04-01",0
"1999-04-05",-0.195694716242661
"1999-04-06",-1.27450980392157
"1999-04-07",-0.794438927507448
"1999-04-08",-0.800800800800801
"1999-04-09",1.61453077699294
"1999-04-12",0.099304865938431
"1999-04-13",1.19047619047619
"1999-04-14",0.784313725490196
"1999-04-15",3.59922178988327
"1999-04-16",9.67136150234742
"1999-04-19",2.3972602739726
"1999-04-20",0.919732441471572
"1999-04-21",-1.49130074565037
"1999-04-22",-1.42977291841884
"1999-04-23",0.938566552901024
"1999-04-26",3.63482671174979
"1999-04-27",1.30505709624796
"1999-04-28",-2.49597423510467
"1999-04-29",2.06440957886045
"1999-04-30",-3.23624595469256
"1999-05-03",0.668896321070234
"1999-05-04",3.32225913621263
"1999-05-05",-0.0803858520900322
"1999-05-06",0.402252614641995
"1999-05-07",1.04166666666667
"1999-05-10",0.158604282315623
"1999-05-11",-1.18764845605701
"1999-05-12",0.881410256410256
"1999-05-13",0.476568705321684
"1999-05-14",-1.81818181818182
"1999-05-17",-1.12721417069243
"1999-05-18",-3.42019543973941
"1999-05-19",0.421585160202361
"1999-05-20",1.51133501259446
"1999-05-21",-3.39123242349049
"1999-05-24",-2.05479452054794
"1999-05-25",-1.3986013986014
"1999-05-26",-0.443262411347518
"1999-05-27",-1.95903829029386
"1999-05-28",-1.72570390554042
"1999-06-01",-0.739371534195933
"1999-06-02",-0.465549348230912
"1999-06-03",0.841908325537886
"1999-06-04",0.927643784786642
"1999-06-07",3.21691176470588
"1999-06-08",-0.979519145146928
"1999-06-09",0.359712230215827
"1999-06-10",1.88172043010753
"1999-06-11",-0.527704485488127
"1999-06-14",-0.26525198938992
"1999-06-15",0.177304964539007
"1999-06-16",0.884955752212389
"1999-06-17",-0.789473684210526
"1999-06-18",0.618921308576481
"1999-06-21",0.527240773286467
"1999-06-22",0.0874125874125874
"1999-06-23",-0.436681222707424
"1999-06-24",-2.10526315789474
"1999-06-25",-0.3584229390681
"1999-06-28",1.34892086330935
"1999-06-29",-1.41969831410825
"1999-06-30",-2.43024302430243
"1999-07-01",2.85977859778598
"1999-07-02",1.25560538116592
"1999-07-06",-0.265721877767936
"1999-07-07",0.355239786856128
"1999-07-08",0.0884955752212389
"1999-07-09",0.618921308576481
"1999-07-12",2.3725834797891
"1999-07-13",-0.0858369098712446
"1999-07-14",0
"1999-07-15",-0.859106529209622
"1999-07-16",0
"1999-07-19",1.38648180242634
"1999-07-20",0.170940170940171
"1999-07-21",-0.341296928327645
"1999-07-22",-2.73972602739726
"1999-07-23",-0.792253521126761
"1999-07-26",-1.77462289263531
"1999-07-27",1.2646793134598
"1999-07-28",0.8028545941124
"1999-07-29",-1.41592920353982
"1999-07-30",-0.718132854578097
"1999-08-02",1.08499095840868
"1999-08-03",0.447227191413238
"1999-08-04",0.445235975066785
"1999-08-05",-0.531914893617021
"1999-08-06",1.33689839572193
"1999-08-09",2.19876868953386
"1999-08-10",-1.46299483648881
"1999-08-11",-0.349344978165939
"1999-08-12",-0.613496932515337
"1999-08-13",0.793650793650794
"1999-08-16",-0.612423447069116
"1999-08-17",2.8169014084507
"1999-08-18",-0.256849315068493
"1999-08-19",0.772532188841202
"1999-08-20",1.87393526405451
"1999-08-23",0
"1999-08-24",0.919732441471572
"1999-08-25",0.414250207125104
"1999-08-26",-0.0825082508250825
"1999-08-27",-0.660611065235343
"1999-08-30",0.249376558603491
"1999-08-31",-2.57048092868988
"1999-09-01",2.63829787234043
"1999-09-02",-2.81923714759536
"1999-09-03",0.938566552901024
"1999-09-07",0.169061707523246
"1999-09-08",-2.0253164556962
"1999-09-09",1.72265288544358
"1999-09-10",-1.01608806096528
"1999-09-13",3.9349871685201
"1999-09-14",2.55144032921811
"1999-09-15",-1.52487961476726
"1999-09-16",-0.733496332518337
"1999-09-17",-0.821018062397373
"1999-09-20",-0.745033112582781
"1999-09-21",-0.166805671392827
"1999-09-22",0.50125313283208
"1999-09-23",-1.82876142975894
"1999-09-24",-0.592718035563082
"1999-09-27",-0.425894378194208
"1999-09-28",-0.427715996578272
"1999-09-29",1.46048109965636
"1999-09-30",2.45554614733277
"1999-10-01",-0.495867768595041
"1999-10-04",2.24252491694352
"1999-10-05",-0.731112916328189
"1999-10-06",-0.0818330605564648
"1999-10-07",-1.14660114660115
"1999-10-08",-0.911350455675228
"1999-10-11",-0.0836120401337793
"1999-10-12",-3.01255230125523
"1999-10-13",-1.03537532355479
"1999-10-14",0.784655623365301
"1999-10-15",-1.90311418685121
"1999-10-18",-0.440917107583774
"1999-10-19",-0.177147918511957
"1999-10-20",-0.798580301685892
"1999-10-21",-2.77280858676208
"1999-10-22",1.01195952161914
"1999-10-25",-1.45719489981785
"1999-10-26",0.831792975970425
"1999-10-27",-0.458295142071494
"1999-10-28",1.56537753222836
"1999-10-29",0
"1999-11-01",1.63191296464189
"1999-11-02",-0.267618198037467
"1999-11-03",-0.447227191413238
"1999-11-04",-0.449236298292902
"1999-11-05",-0.812274368231047
"1999-11-08",-0.363967242948135
"1999-11-09",-1.36986301369863
"1999-11-10",-1.48148148148148
"1999-11-11",-0.093984962406015
"1999-11-12",0
"1999-11-15",-0.282220131702728
"1999-11-16",-0.566037735849057
"1999-11-17",1.13851992409867
"1999-11-18",-0.0938086303939962
"1999-11-19",-1.40845070422535
"1999-11-22",0.666666666666667
"1999-11-23",-3.2166508987701
"1999-11-24",0.293255131964809
"1999-11-26",0.584795321637427
"1999-11-29",-2.61627906976744
"1999-11-30",-1.49253731343284
"1999-12-01",1.01010101010101
"1999-12-02",-1.7
"1999-12-03",-2.13631739572737
"1999-12-06",1.97505197505198
"1999-12-07",0.101936799184506
"1999-12-08",-1.42566191446029
"1999-12-09",0.826446280991736
"1999-12-10",0.409836065573771
"1999-12-13",-0.306122448979592
"1999-12-14",-0.511770726714432
"1999-12-15",-0.720164609053498
"1999-12-16",-0.621761658031088
"1999-12-17",1.98123044838373
"1999-12-20",-2.14723926380368
"1999-12-21",-4.07523510971787
"1999-12-22",8.16993464052288
"1999-12-23",2.01409869083585
"1999-12-27",1.38203356367226
"1999-12-28",0.0973709834469328
"1999-12-29",3.50194552529183
"1999-12-30",-1.50375939849624
"1999-12-31",1.14503816793893
"2000-01-03",-2.54716981132075
"2000-01-04",-1.83930300096805
"2000-01-05",-1.08481262327416
"2000-01-06",1.49551345962114
"2000-01-07",-1.8664047151277
"2000-01-10",1.1011011011011
"2000-01-11",-2.57425742574257
"2000-01-12",-2.94715447154472
"2000-01-13",1.78010471204188
"2000-01-14",-0.308641975308642
"2000-01-18",-1.13519091847265
"2000-01-19",1.87891440501044
"2000-01-20",-0.204918032786885
"2000-01-21",-0.205338809034908
"2000-01-24",2.16049382716049
"2000-01-25",-0.503524672708963
"2000-01-26",-0.506072874493927
"2000-01-27",0.406917599186165
"2000-01-28",0.101317122593718
"2000-01-31",0.202429149797571
"2000-02-01",-1.31313131313131
"2000-02-02",0
"2000-02-03",3.58239508700102
"2000-02-04",0
"2000-02-07",-1.97628458498024
"2000-02-08",-0.604838709677419
"2000-02-09",-0.608519269776876
"2000-02-10",-2.95918367346939
"2000-02-11",-1.15667718191377
"2000-02-14",-1.06382978723404
"2000-02-15",-0.537634408602151
"2000-02-16",2.48648648648649
"2000-02-17",1.37130801687764
"2000-02-18",0.832466181061394
"2000-02-22",-1.03199174406605
"2000-02-23",1.56412930135558
"2000-02-24",-2.25872689938398
"2000-02-25",-2.73109243697479
"2000-02-28",-1.72786177105832
"2000-02-29",0.769230769230769
