"","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Fund-114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0132188803304185,-0.0202231019425997,-0.00294070066212705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00792047988341506,0.00486043679847721,0.00190365933877587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0166175556224029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00682392560021488,-0.00612440182091736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00081875385938392,0.0149742798395003,0.00211081346391023,0.00304081471770329,-0.00398270786532995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0010755376384094,0.000466442104235652,0.0187848576364735,-0.00530443770853244,0.0536092857235128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00259399072658084,6.23382367880835e-05,0.0011352145495541,-0.0200477577970716,0.049694701760875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442106421951138,0.0225547193735047,0.000167797075114814,-0.00311584605620199,-0.00788833769856719,-0.00876673006191683,0.0138328426737232,0.00387701823211878,0.00123561685119512,-0.00483974741492819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fund-151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0269189874995906,0.00178587570891888,0.00726405518429504,-0.00833745163881201,-0.00474899302584904,0.00640920355581419,0.00702432329767336,0.0131442701419443,-0.00471515461976427,0.00220751298701758,0.00213362517650238,0.00118696205495221,0.0075706637524621,-0.000230929026732895,-0.00124241974915491,-0.00393439198160533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
