Dates,Daily.Returns,200.MA,Close,200.D.MA.Price,50.D.MA.Price,100.D.MA.Price
17/08/11,0.001,-0.0715,1193.890015,1285.84,1279.449002,1305.1841
18/08/11,-0.045,-0.1129,1140.650024,1285.887,1277.628003,1303.985
19/08/11,-0.015,-0.1261,1123.530029,1285.622,1274.849802,1302.289601
22/08/11,0,-0.1256,1123.819946,1285.25,1271.540403,1300.330502
23/08/11,0.034,-0.0953,1162.349976,1284.764,1268.597202,1298.286101
24/08/11,0.013,-0.0832,1177.599976,1284.447,1266.407603,1296.651301
25/08/11,-0.016,-0.0973,1159.27002,1284.218,1264.202202,1295.103201
26/08/11,0.015,-0.0835,1176.800049,1283.948,1262.079202,1293.367201
29/08/11,0.028,-0.0574,1210.079956,1283.738,1260.262402,1291.808901
30/08/11,0.002,-0.0552,1212.920044,1283.721,1259.034002,1290.554301
31/08/11,0.005,-0.0506,1218.890015,1283.789,1257.725203,1289.348401
01/09/11,-0.012,-0.0619,1204.420044,1283.895,1256.192603,1288.255601
02/09/11,-0.025,-0.0857,1173.969971,1284.026,1254.538203,1287.055201
06/09/11,-0.007,-0.0925,1165.23999,1284.002,1252.347603,1285.653301
07/09/11,0.029,-0.0664,1198.619995,1283.845,1250.283403,1284.1616
08/09/11,-0.011,-0.0763,1185.900024,1283.84,1248.653804,1283.0026
09/09/11,-0.027,-0.1009,1154.22998,1283.78,1246.438403,1281.6648
12/09/11,0.007,-0.0946,1162.27002,1283.647,1243.374802,1280.155699
13/09/11,0.009,-0.0862,1172.869995,1283.467,1240.207402,1278.6522
14/09/11,0.013,-0.0738,1188.680054,1283.384,1236.871401,1277.0773
15/09/11,0.017,-0.0579,1209.109985,1283.389,1233.887402,1275.5903
16/09/11,0.006,-0.0526,1216.01001,1283.532,1231.285203,1274.3289
19/09/11,-0.01,-0.0619,1204.089966,1283.581,1228.541003,1273.0166
20/09/11,-0.002,-0.0634,1202.089966,1283.494,1225.746802,1271.5009
21/09/11,-0.029,-0.0909,1166.76001,1283.381,1223.398801,1269.917
22/09/11,-0.032,-0.1197,1129.560059,1283.099,1220.461201,1267.9485
23/09/11,0.006,-0.114,1136.430054,1282.628,1216.698003,1265.631901
26/09/11,0.023,-0.093,1162.949951,1282.169,1213.249204,1263.430001
27/09/11,0.011,-0.083,1175.380005,1281.819,1210.185403,1261.586301
28/09/11,-0.021,-0.1018,1151.060059,1281.494,1207.584204,1259.989102
29/09/11,0.008,-0.0942,1160.400024,1281.047,1204.070806,1258.097703
30/09/11,-0.025,-0.1165,1131.420044,1280.641,1200.762007,1256.238803
03/10/11,-0.028,-0.1413,1099.22998,1280.122,1196.514407,1253.981403
04/10/11,0.022,-0.1215,1123.949951,1279.404,1191.598606,1251.552903
05/10/11,0.018,-0.1054,1144.030029,1278.804,1187.329004,1249.305902
06/10/11,0.018,-0.0886,1164.969971,1278.289,1183.570806,1247.368502
07/10/11,-0.008,-0.0958,1155.459961,1277.84,1180.772405,1245.723502
10/10/11,0.034,-0.0645,1194.890015,1277.324,1177.868203,1243.988302
11/10/11,0.001,-0.0638,1195.540039,1277.014,1175.920403,1242.530402
12/10/11,0.01,-0.0544,1207.25,1276.704,1174.092405,1241.049802
13/10/11,-0.003,-0.057,1203.660034,1276.448,1173.156404,1239.789602
14/10/11,0.017,-0.0404,1224.579956,1276.167,1172.022805,1238.652502
17/10/11,-0.019,-0.0589,1200.859985,1276.001,1172.513005,1237.735502
18/10/11,0.02,-0.0395,1225.380005,1275.717,1172.542605,1236.539402
19/10/11,-0.013,-0.0514,1209.880005,1275.484,1174.661006,1235.536303
20/10/11,0.005,-0.0469,1215.390015,1275.183,1175.408005,1234.324103
21/10/11,0.019,-0.0287,1238.25,1274.877,1177.300606,1233.026003
24/10/11,0.013,-0.0161,1254.189941,1274.699,1178.612805,1232.263003
25/10/11,-0.02,-0.0357,1229.050049,1274.612,1180.120403,1231.675503
26/10/11,0.011,-0.0254,1242,1274.409,1180.611604,1230.964403
27/10/11,0.034,0.0081,1284.589966,1274.247,1181.596404,1230.522703
28/10/11,0,0.0085,1285.089966,1274.24,1183.410403,1230.519203
31/10/11,-0.025,-0.0164,1253.300049,1274.246,1186.299202,1230.574502
01/11/11,-0.028,-0.0438,1218.280029,1274.047,1188.894602,1230.217502
02/11/11,0.016,-0.0281,1237.900024,1273.663,1190.783804,1229.690503
03/11/11,0.019,-0.0097,1261.150024,1273.443,1192.294805,1229.351204
04/11/11,-0.006,-0.0158,1253.22998,1273.347,1193.965806,1229.084004
07/11/11,0.006,-0.0095,1261.119995,1273.197,1195.845005,1228.962103
