"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4","CL5"
"115","19900614","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"116","19900615","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"117","19900618","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"118","19900619","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"119","19900620","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"120","19900621","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"121","19900622","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"122","19900625","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"123","19900626","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"124","19900627","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"125","19900628","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"126","19900629","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"127","19900702","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"128","19900703","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"129","19900705","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"130","19900706","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"131","19900709","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"132","19900710","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"133","19900711","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"134","19900712","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"135","19900713","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"136","19900716","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"137","19900717","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"138","19900718","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"139","19900719","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"140","19900720","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"141","19900723","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"142","19900724","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"143","19900725","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"144","19900726","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"145","19900727","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"146","19900730","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"147","19900731","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"148","19900801","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"149","19900802","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"150","19900803","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"151","19900806","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"152","19900807","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"153","19900808","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"154","19900809","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"155","19900810","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"156","19900813","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"157","19900814","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"158","19900815","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"159","19900816","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"160","19900817","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"161","19900820","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"162","19900821","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"163","19900822","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"164","19900823","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"165","19900824","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"166","19900827","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"167","19900828","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"168","19900829","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"169","19900830","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"170","19900831","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"171","19900904","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"172","19900905","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"173","19900906","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"174","19900907","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"175","19900910","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"176","19900911","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"177","19900912","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"178","19900913","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"179","19900914","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"180","19900917","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"181","19900918","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"182","19900919","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"183","19900920","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"184","19900921","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"185","19900924","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"186","19900925","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"187","19900926","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"188","19900927","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"189","19900928","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"190","19901001","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"191","19901002","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"192","19901003","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"193","19901004","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"194","19901005","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
"195","19901008","SSAX90.b01","SSAX90.b01","SSAF91.b01","SSAH91.b01","SSAK91.b01","SSAN91.b01","SSAX91.b01"
