"","Date","Lead.Contract","CL0","CL1","CL2","CL3","CL4"
"133","19900711","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"134","19900712","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"135","19900713","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"136","19900716","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"137","19900717","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"138","19900718","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"139","19900719","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"140","19900720","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"141","19900723","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"142","19900724","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"143","19900725","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"144","19900726","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"145","19900727","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"146","19900730","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"147","19900731","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"148","19900801","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"149","19900802","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"150","19900803","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"151","19900806","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"152","19900807","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"153","19900808","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"154","19900809","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"155","19900810","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"156","19900813","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"157","19900814","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"158","19900815","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"159","19900816","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"160","19900817","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"161","19900820","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"162","19900821","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"163","19900822","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"164","19900823","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"165","19900824","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"166","19900827","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"167","19900828","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"168","19900829","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"169","19900830","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"170","19900831","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"171","19900904","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"172","19900905","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"173","19900906","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"174","19900907","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"175","19900910","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"176","19900911","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"177","19900912","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"178","19900913","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"179","19900914","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"180","19900917","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"181","19900918","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"182","19900919","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"183","19900920","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"184","19900921","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"185","19900924","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"186","19900925","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"187","19900926","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"188","19900927","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"189","19900928","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"190","19901001","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"191","19901002","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"192","19901003","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"193","19901004","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"194","19901005","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"195","19901008","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"196","19901009","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"197","19901010","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"198","19901011","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"199","19901012","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"200","19901015","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"201","19901016","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"202","19901017","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"203","19901018","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"204","19901019","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"205","19901022","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"206","19901023","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"207","19901024","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"208","19901025","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"209","19901026","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"210","19901029","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"211","19901030","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"212","19901031","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"213","19901101","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"214","19901102","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"215","19901105","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
"216","19901106","CNAZ90.b01","CNAZ90.b01","CNAH91.b01","CNAK91.b01","CNAN91.b01","CNAZ91.b01"
