,Dates,Daily.Returns,Close,,Dates,Daily.Returns,Close
,,,,,23/11/98,0.021,1188.209961
,,,,,24/11/98,-0.004,1182.98999
,,,,,25/11/98,0.003,1186.869995
,,,,,27/11/98,0.005,1192.329956
,,,,,30/11/98,-0.024,1163.630005
,,,,,01/12/98,0.01,1175.280029
,,,,,02/12/98,-0.003,1171.25
,,,,,03/12/98,-0.018,1150.140015
,,,,,04/12/98,0.023,1176.73999
,,,,,07/12/98,0.009,1187.699951
,,,,,08/12/98,-0.005,1181.380005
,,,,,09/12/98,0.002,1183.48999
,,,,,10/12/98,-0.016,1165.02002
,,,,,11/12/98,0.001,1166.459961
,,,,,14/12/98,-0.022,1141.199951
,,,,,15/12/98,0.019,1162.829956
,,,,,16/12/98,-0.001,1161.939941
,,,,,17/12/98,0.016,1179.97998
,,,,,18/12/98,0.007,1188.030029
,,,,,21/12/98,0.012,1202.839966
,,,,,22/12/98,0.001,1203.569946
,,,,,23/12/98,0.021,1228.540039
,,,,,24/12/98,-0.002,1226.27002
,,,,,28/12/98,-0.001,1225.48999
,,,,,29/12/98,0.013,1241.810059
,,,,,30/12/98,-0.008,1231.930054
,,,,,31/12/98,-0.002,1229.22998
,,,,,04/01/99,-0.001,1228.099976
,,,,,05/01/99,0.014,1244.780029
,,,,,06/01/99,0.022,1272.339966
,,,,,07/01/99,-0.002,1269.72998
,,,,,08/01/99,0.004,1275.089966
,,,,,11/01/99,-0.009,1263.880005
,,,,,12/01/99,-0.019,1239.51001
,,,,,13/01/99,-0.004,1234.400024
,,,,,14/01/99,-0.018,1212.189941
,,,,,15/01/99,0.026,1243.26001
,,,,,19/01/99,0.007,1252
,,,,,20/01/99,0.004,1256.619995
,,,,,21/01/99,-0.017,1235.160034
,,,,,22/01/99,-0.008,1225.189941
,,,,,25/01/99,0.007,1233.97998
,,,,,26/01/99,0.015,1252.310059
,,,,,27/01/99,-0.007,1243.170044
,,,,,28/01/99,0.018,1265.369995
,,,,,29/01/99,0.011,1279.640015
,,,,,01/02/99,-0.005,1273
,,,,,02/02/99,-0.009,1261.98999
,,,,,03/02/99,0.008,1272.069946
,,,,,04/02/99,-0.019,1248.48999
,,,,,05/02/99,-0.007,1239.400024
,,,,,08/02/99,0.004,1243.77002
,,,,,09/02/99,-0.022,1216.140015
,,,,,10/02/99,0.006,1223.550049
,,,,,11/02/99,0.025,1254.040039
,,,,,12/02/99,-0.019,1230.130005
,,,,,16/02/99,0.01,1241.869995
,,,,,17/02/99,-0.014,1224.030029
,,,,,18/02/99,0.011,1237.280029
,,,,,19/02/99,0.002,1239.219971
,,,,,22/02/99,0.027,1272.140015
,,,,,23/02/99,-0.001,1271.180054
,,,,,24/02/99,-0.014,1253.410034
,,,,,25/02/99,-0.007,1245.02002
,,,,,26/02/99,-0.005,1238.329956
,,,,,01/03/99,-0.002,1236.160034
,,,,,02/03/99,-0.009,1225.5
,,,,,03/03/99,0.002,1227.699951
,,,,,04/03/99,0.015,1246.640015
,,,,,05/03/99,0.023,1275.469971
,,,,,08/03/99,0.006,1282.72998
,,,,,09/03/99,-0.002,1279.839966
,,,,,10/03/99,0.005,1286.839966
,,,,,11/03/99,0.008,1297.680054
,,,,,12/03/99,-0.002,1294.589966
,,,,,15/03/99,0.01,1307.26001
,,,,,16/03/99,-0.001,1306.380005
,,,,,17/03/99,-0.007,1297.819946
,,,,,18/03/99,0.014,1316.550049
,,,,,19/03/99,-0.013,1299.290039
,,,,,22/03/99,-0.002,1297.01001
,,,,,23/03/99,-0.027,1262.140015
,,,,,24/03/99,0.005,1268.589966
,,,,,25/03/99,0.017,1289.98999
,,,,,26/03/99,-0.006,1282.800049
,,,,,29/03/99,0.021,1310.170044
,,,,,30/03/99,-0.007,1300.75
,,,,,31/03/99,-0.011,1286.369995
,,,,,01/04/99,0.006,1293.719971
,,,,,05/04/99,0.021,1321.119995
,,,,,06/04/99,-0.002,1317.890015
,,,,,07/04/99,0.007,1326.890015
,,,,,08/04/99,0.013,1343.97998
,,,,,09/04/99,0.003,1348.349976
,,,,,12/04/99,0.008,1358.630005
,,,,,13/04/99,-0.006,1349.819946
,,,,,14/04/99,-0.016,1328.439941
,,,,,15/04/99,-0.004,1322.849976
,,,,,16/04/99,-0.003,1319
,,,,,19/04/99,-0.022,1289.47998
,,,,,20/04/99,0.013,1306.170044
,,,,,21/04/99,0.023,1336.119995
,,,,,22/04/99,0.017,1358.819946
,,,,,23/04/99,-0.001,1356.849976
,,,,,26/04/99,0.002,1360.040039
,,,,,27/04/99,0.002,1362.800049
,,,,,28/04/99,-0.009,1350.910034
,,,,,29/04/99,-0.006,1342.829956
,,,,,30/04/99,-0.006,1335.180054
,,,,,03/05/99,0.015,1354.630005
,,,,,04/05/99,-0.017,1332
,,,,,05/05/99,0.011,1347.310059
,,,,,06/05/99,-0.011,1332.050049
,,,,,07/05/99,0.01,1345
,,,,,10/05/99,-0.003,1340.300049
,,,,,11/05/99,0.011,1355.609985
,,,,,12/05/99,0.006,1364
,,,,,13/05/99,0.003,1367.560059
,,,,,14/05/99,-0.022,1337.800049
,,,,,17/05/99,0.001,1339.48999
,,,,,18/05/99,-0.005,1333.319946
,,,,,19/05/99,0.008,1344.22998
,,,,,20/05/99,-0.004,1338.829956
,,,,,21/05/99,-0.006,1330.290039
,,,,,24/05/99,-0.018,1306.650024
,,,,,25/05/99,-0.017,1284.400024
,,,,,26/05/99,0.016,1304.76001
,,,,,27/05/99,-0.018,1281.410034
,,,,,28/05/99,0.016,1301.839966
,,,,,01/06/99,-0.006,1294.26001
,,,,,02/06/99,0,1294.810059
,,,,,03/06/99,0.004,1299.540039
,,,,,04/06/99,0.022,1327.75
,,,,,07/06/99,0.005,1334.52002
,,,,,08/06/99,-0.013,1317.329956
,,,,,09/06/99,0.001,1318.640015
,,,,,10/06/99,-0.012,1302.819946
,,,,,11/06/99,-0.007,1293.640015
,,,,,14/06/99,0,1294
,,,,,15/06/99,0.006,1301.160034
,,,,,16/06/99,0.022,1330.410034
,,,,,17/06/99,0.007,1339.900024
,,,,,18/06/99,0.002,1342.839966
,,,,,21/06/99,0.005,1349
,,,,,22/06/99,-0.01,1335.880005
,,,,,23/06/99,-0.002,1333.060059
,,,,,24/06/99,-0.013,1315.780029
,,,,,25/06/99,0,1315.310059
,,,,,28/06/99,0.012,1331.349976
,,,,,29/06/99,0.015,1351.449951
,,,,,30/06/99,0.016,1372.709961
