"","Dates","Daily.Returns","X200.MA","Close","X200.D.MA.Price","X50.D.MA.Price","X100.D.MA.Price"
"2858","03/06/2002",-0.025,-0.0669,1040.680054,1115.304,1101.465198,1114.841899
"2862","07/06/2002",-0.002,-0.0763,1027.530029,1112.348,1093.220601,1110.2661
"2866","13/06/2002",-0.01,-0.0899,1009.559998,1109.344,1083.5578,1105.676901
"2870","19/06/2002",-0.017,-0.0781,1019.98999,1106.447,1075.365402,1101.5061
"2874","25/06/2002",-0.017,-0.1153,976.140015,1103.396,1066.268801,1096.782
"2923","04/09/2002",0.018,-0.1601,893.400024,1063.656,915.1180029,991.8763025
"2927","10/09/2002",0.007,-0.1408,909.580017,1058.63,907.8460034,982.890603
"2931","16/09/2002",0.001,-0.1543,891.099976,1053.637,902.5500024,974.2638037
"2935","20/09/2002",0.002,-0.1936,845.390015,1048.334,895.311803,965.7739051
"2939","26/09/2002",0.018,-0.1794,854.950012,1041.822,888.7200025,955.9406037
"2988","05/12/2002",-0.012,-0.0755,906.549988,980.554,879.3036047,884.6246039
"2992","11/12/2002",0.001,-0.0734,904.960022,976.682,884.8630041,885.4140039
"2996","17/12/2002",-0.008,-0.0712,902.98999,972.203,891.0844055,888.4816046
"3000","23/12/2002",0.002,-0.0719,897.380005,966.92,899.2766052,888.5608038
"3004","30/12/2002",0.005,-0.0854,879.390015,961.49,902.0138037,889.6792041
"3049","06/03/2003",-0.009,-0.0929,822.099976,906.284,868.4770007,882.9584027
"3053","12/03/2003",0.004,-0.1073,804.190002,900.805,862.1556005,881.9309021
"3057","18/03/2003",0.004,-0.033,866.450012,896.013,857.9257995,880.0191021
"3061","24/03/2003",-0.035,-0.0318,864.22998,892.58,854.7551989,879.4739019
"3065","28/03/2003",-0.006,-0.0292,863.5,889.462,850.042799,878.7598016
"3110","03/06/2003",0.005,0.0969,971.559998,885.739,907.9533973,881.4956982
"3114","09/06/2003",-0.012,0.1007,975.929993,886.682,916.5731983,883.9393982
"3118","13/06/2003",-0.01,0.114,988.609985,887.461,926.9347987,886.8443988
"3122","19/06/2003",-0.015,0.1187,994.700012,889.134,937.0341981,891.9081983
"3126","25/06/2003",-0.008,0.0944,975.320007,891.189,946.4605994,897.3130994
"3175","04/09/2003",0.002,0.1152,1027.969971,921.769,991.1928027,967.6752008
"3179","10/09/2003",-0.012,0.0939,1010.919983,924.185,994.8600025,973.4744013
"3183","16/09/2003",0.014,0.1117,1029.319946,925.936,997.3502015,977.9224006
"3187","22/09/2003",-0.013,0.1022,1022.820007,927.94,999.910199,982.8048993
"3191","26/09/2003",-0.006,0.0717,996.849976,930.12,1001.27,986.5514002
"3236","01/12/2003",0.011,0.1082,1070.119995,965.648,1038.783398,1018.870798
"3240","05/12/2003",-0.008,0.0941,1061.5,970.163,1042.256595,1021.671498
"3244","11/12/2003",0.011,0.099,1071.209961,974.678,1047.203799,1024.692399
"3248","17/12/2003",0.001,0.0991,1076.47998,979.445,1050.921001,1028.0076
"3252","23/12/2003",0.003,0.113,1096.02002,984.74,1054.8698,1031.8442
"3256","30/12/2003",0,0.1204,1109.640015,990.366,1058.945203,1036.8434
"3297","01/03/2004",0.01,0.1113,1155.969971,1040.183,1128.270005,1089.187703
"3301","05/03/2004",0.002,0.1076,1156.859985,1044.482,1133.900403,1093.836302
"3305","11/03/2004",-0.015,0.0553,1106.780029,1048.784,1137.693201,1097.725101
"3309","17/03/2004",0.012,0.0683,1123.75,1051.907,1137.753599,1100.349501
"3313","23/03/2004",-0.001,0.0373,1093.949951,1054.588,1136.695798,1103.6203
"3317","29/03/2004",0.013,0.0621,1122.469971,1056.871,1134.729797,1105.7201
"3362","02/06/2004",0.003,0.0359,1124.98999,1086.029,1116.901797,1127.163998
"3366","08/06/2004",0.002,0.0492,1142.180054,1088.586,1119.1954,1127.187198
"3370","15/06/2004",0.006,0.0373,1132.01001,1091.329,1120.226001,1127.128198
"3374","21/06/2004",-0.004,0.0333,1130.300049,1093.844,1119.424602,1126.5698
"3378","25/06/2004",-0.005,0.035,1134.430054,1096.055,1119.323208,1126.686301
"3427","03/09/2004",-0.004,0.0012,1113.630005,1112.266,1101.780793,1110.4399
"3431","10/09/2004",0.005,0.009,1123.920044,1113.844,1100.279795,1109.925101
"3435","16/09/2004",0.003,0.0073,1123.5,1115.338,1100.021196,1109.729601
"3439","22/09/2004",-0.014,-0.0027,1113.560059,1116.557,1101.000198,1109.398601
"3443","28/09/2004",0.006,-0.0066,1110.060059,1117.432,1101.0174,1109.171801
"3488","01/12/2004",0.015,0.0614,1191.369995,1122.403,1138.628206,1119.664701
"3492","07/12/2004",-0.011,0.0479,1177.069946,1123.218,1144.664004,1122.819402
"3496","13/12/2004",0.009,0.0664,1198.680054,1124.061,1150.547202,1126.142201
"3500","17/12/2004",-0.007,0.0614,1194.199951,1125.11,1155.903,1130.632703
"3504","23/12/2004",0,0.0746,1210.130005,1126.132,1161.999998,1134.629501
"3508","30/12/2004",0,0.0758,1213.550049,1128.064,1170.057598,1139.620002
"3549","01/03/2005",0.006,0.0596,1210.410034,1142.367,1193.913198,1174.2965
"3553","07/03/2005",0.003,0.0703,1225.310059,1144.794,1195.0246,1177.634999
"3557","11/03/2005",-0.008,0.046,1200.079956,1147.264,1195.481401,1181.7752
"3561","17/03/2005",0.002,0.036,1190.209961,1148.878,1194.515999,1185.428499
"3565","23/03/2005",0.001,0.0195,1172.530029,1150.128,1194.305598,1188.511698
"3569","30/03/2005",0.014,0.0266,1181.410034,1150.794,1193.209602,1190.160499
"3614","02/06/2005",0.002,0.0334,1204.290039,1165.339,1172.325798,1183.460498
"3618","08/06/2005",-0.002,0.0233,1194.670044,1167.482,1174.428599,1183.94
